material_id,M_element,Ru_fraction,M_fraction,nominal_formula,adsorbate,adsorption_site_index,adsorbate_structure_file,parent_slab_file,notes
MAT_015,Mg,0.2,0.8,Ru0.20Mg0.80Ox,O2,2,data\substituted_adsorbates\MAT_015_O2_site2_adsorbed.cif,data\substituted_slabs\MAT_015_110_slab.cif,multiple adsorption site structure
MAT_015,Mg,0.2,0.8,Ru0.20Mg0.80Ox,N2O,0,data\substituted_adsorbates\MAT_015_N2O_site0_adsorbed.cif,data\substituted_slabs\MAT_015_110_slab.cif,multiple adsorption site structure
MAT_015,Mg,0.2,0.8,Ru0.20Mg0.80Ox,N2O,1,data\substituted_adsorbates\MAT_015_N2O_site1_adsorbed.cif,data\substituted_slabs\MAT_015_110_slab.cif,multiple adsorption site structure
MAT_015,Mg,0.2,0.8,Ru0.20Mg0.80Ox,N2O,2,data\substituted_adsorbates\MAT_015_N2O_site2_adsorbed.cif,data\substituted_slabs\MAT_015_110_slab.cif,multiple adsorption site structure
MAT_017,Al,0.8,0.1999999999999999,Ru0.80Al0.20Ox,O,0,data\substituted_adsorbates\MAT_017_O_site0_adsorbed.cif,data\substituted_slabs\MAT_017_110_slab.cif,multiple adsorption site structure
MAT_017,Al,0.8,0.1999999999999999,Ru0.80Al0.20Ox,O,1,data\substituted_adsorbates\MAT_017_O_site1_adsorbed.cif,data\substituted_slabs\MAT_017_110_slab.cif,multiple adsorption site structure
MAT_017,Al,0.8,0.1999999999999999,Ru0.80Al0.20Ox,O,2,data\substituted_adsorbates\MAT_017_O_site2_adsorbed.cif,data\substituted_slabs\MAT_017_110_slab.cif,multiple adsorption site structure
MAT_017,Al,0.8,0.1999999999999999,Ru0.80Al0.20Ox,O2,0,data\substituted_adsorbates\MAT_017_O2_site0_adsorbed.cif,data\substituted_slabs\MAT_017_110_slab.cif,multiple adsorption site structure
MAT_017,Al,0.8,0.1999999999999999,Ru0.80Al0.20Ox,O2,1,data\substituted_adsorbates\MAT_017_O2_site1_adsorbed.cif,data\substituted_slabs\MAT_017_110_slab.cif,multiple adsorption site structure
MAT_017,Al,0.8,0.1999999999999999,Ru0.80Al0.20Ox,O2,2,data\substituted_adsorbates\MAT_017_O2_site2_adsorbed.cif,data\substituted_slabs\MAT_017_110_slab.cif,multiple adsorption site structure
MAT_017,Al,0.8,0.1999999999999999,Ru0.80Al0.20Ox,N2O,0,data\substituted_adsorbates\MAT_017_N2O_site0_adsorbed.cif,data\substituted_slabs\MAT_017_110_slab.cif,multiple adsorption site structure
MAT_017,Al,0.8,0.1999999999999999,Ru0.80Al0.20Ox,N2O,1,data\substituted_adsorbates\MAT_017_N2O_site1_adsorbed.cif,data\substituted_slabs\MAT_017_110_slab.cif,multiple adsorption site structure
MAT_017,Al,0.8,0.1999999999999999,Ru0.80Al0.20Ox,N2O,2,data\substituted_adsorbates\MAT_017_N2O_site2_adsorbed.cif,data\substituted_slabs\MAT_017_110_slab.cif,multiple adsorption site structure
MAT_018,Al,0.6,0.4,Ru0.60Al0.40Ox,O,0,data\substituted_adsorbates\MAT_018_O_site0_adsorbed.cif,data\substituted_slabs\MAT_018_110_slab.cif,multiple adsorption site structure
MAT_018,Al,0.6,0.4,Ru0.60Al0.40Ox,O,1,data\substituted_adsorbates\MAT_018_O_site1_adsorbed.cif,data\substituted_slabs\MAT_018_110_slab.cif,multiple adsorption site structure
