material_id,M_element,Ru_fraction,M_fraction,nominal_formula,vacancy_site_index,vacancy_structure_file,predicted_energy_eV,backend,status
MAT_038,Sc,0.6,0.4,Ru0.60Sc0.40Ox,1,data\vacancies\MAT_038_vacancy_site1.cif,-347.195311200954,uma-s-1p2,success
MAT_038,Sc,0.6,0.4,Ru0.60Sc0.40Ox,2,data\vacancies\MAT_038_vacancy_site2.cif,-345.41889374298245,uma-s-1p2,success
MAT_039,Sc,0.4,0.6,Ru0.40Sc0.60Ox,0,data\vacancies\MAT_039_vacancy_site0.cif,-350.122382591763,uma-s-1p2,success
MAT_039,Sc,0.4,0.6,Ru0.40Sc0.60Ox,1,data\vacancies\MAT_039_vacancy_site1.cif,-352.1523412630419,uma-s-1p2,success
MAT_039,Sc,0.4,0.6,Ru0.40Sc0.60Ox,2,data\vacancies\MAT_039_vacancy_site2.cif,-349.6543073924633,uma-s-1p2,success
MAT_040,Sc,0.2,0.8,Ru0.20Sc0.80Ox,0,data\vacancies\MAT_040_vacancy_site0.cif,-352.785234760172,uma-s-1p2,success
MAT_040,Sc,0.2,0.8,Ru0.20Sc0.80Ox,1,data\vacancies\MAT_040_vacancy_site1.cif,-353.22680889264757,uma-s-1p2,success
MAT_040,Sc,0.2,0.8,Ru0.20Sc0.80Ox,2,data\vacancies\MAT_040_vacancy_site2.cif,-352.31497362212525,uma-s-1p2,success
MAT_042,Ti,0.8,0.1999999999999999,Ru0.80Ti0.20Ox,0,data\vacancies\MAT_042_vacancy_site0.cif,-350.50729812083165,uma-s-1p2,success
MAT_042,Ti,0.8,0.1999999999999999,Ru0.80Ti0.20Ox,1,data\vacancies\MAT_042_vacancy_site1.cif,-352.34068752805626,uma-s-1p2,success
MAT_042,Ti,0.8,0.1999999999999999,Ru0.80Ti0.20Ox,2,data\vacancies\MAT_042_vacancy_site2.cif,-351.48614203230363,uma-s-1p2,success
MAT_043,Ti,0.6,0.4,Ru0.60Ti0.40Ox,0,data\vacancies\MAT_043_vacancy_site0.cif,-357.4921878211461,uma-s-1p2,success
MAT_043,Ti,0.6,0.4,Ru0.60Ti0.40Ox,1,data\vacancies\MAT_043_vacancy_site1.cif,-359.4724527267554,uma-s-1p2,success
MAT_043,Ti,0.6,0.4,Ru0.60Ti0.40Ox,2,data\vacancies\MAT_043_vacancy_site2.cif,-358.46326196897,uma-s-1p2,success
MAT_044,Ti,0.4,0.6,Ru0.40Ti0.60Ox,0,data\vacancies\MAT_044_vacancy_site0.cif,-373.63904342446693,uma-s-1p2,success
MAT_044,Ti,0.4,0.6,Ru0.40Ti0.60Ox,1,data\vacancies\MAT_044_vacancy_site1.cif,-375.7716777627362,uma-s-1p2,success
MAT_044,Ti,0.4,0.6,Ru0.40Ti0.60Ox,2,data\vacancies\MAT_044_vacancy_site2.cif,-373.67141132630775,uma-s-1p2,success
MAT_045,Ti,0.2,0.8,Ru0.20Ti0.80Ox,0,data\vacancies\MAT_045_vacancy_site0.cif,-381.1819673133895,uma-s-1p2,success
MAT_045,Ti,0.2,0.8,Ru0.20Ti0.80Ox,1,data\vacancies\MAT_045_vacancy_site1.cif,-381.9348474261975,uma-s-1p2,success
MAT_045,Ti,0.2,0.8,Ru0.20Ti0.80Ox,2,data\vacancies\MAT_045_vacancy_site2.cif,-381.20676384787504,uma-s-1p2,success
MAT_047,V,0.8,0.1999999999999999,Ru0.80V0.20Ox,0,data\vacancies\MAT_047_vacancy_site0.cif,-338.17356778432895,uma-s-1p2,success
MAT_047,V,0.8,0.1999999999999999,Ru0.80V0.20Ox,1,data\vacancies\MAT_047_vacancy_site1.cif,-339.52659290308907,uma-s-1p2,success
MAT_047,V,0.8,0.1999999999999999,Ru0.80V0.20Ox,2,data\vacancies\MAT_047_vacancy_site2.cif,-338.6299710779368,uma-s-1p2,success
MAT_048,V,0.6,0.4,Ru0.60V0.40Ox,0,data\vacancies\MAT_048_vacancy_site0.cif,-338.8207340335288,uma-s-1p2,success
MAT_048,V,0.6,0.4,Ru0.60V0.40Ox,1,data\vacancies\MAT_048_vacancy_site1.cif,-340.3022850395776,uma-s-1p2,success
MAT_048,V,0.6,0.4,Ru0.60V0.40Ox,2,data\vacancies\MAT_048_vacancy_site2.cif,-339.25990235380175,uma-s-1p2,success
