material_id,M_element,Ru_fraction,M_fraction,nominal_formula,structure_file,parent_lattice,notes
MAT_220,Ta,0.2,0.8,Ru0.20Ta0.80Ox,data\substituted_structures\MAT_220_Ru0.20Ta0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_222,W,0.8,0.1999999999999999,Ru0.80W0.20Ox,data\substituted_structures\MAT_222_Ru0.80W0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_223,W,0.6,0.4,Ru0.60W0.40Ox,data\substituted_structures\MAT_223_Ru0.60W0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_224,W,0.4,0.6,Ru0.40W0.60Ox,data\substituted_structures\MAT_224_Ru0.40W0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_225,W,0.2,0.8,Ru0.20W0.80Ox,data\substituted_structures\MAT_225_Ru0.20W0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_227,Re,0.8,0.1999999999999999,Ru0.80Re0.20Ox,data\substituted_structures\MAT_227_Ru0.80Re0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_228,Re,0.6,0.4,Ru0.60Re0.40Ox,data\substituted_structures\MAT_228_Ru0.60Re0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_229,Re,0.4,0.6,Ru0.40Re0.60Ox,data\substituted_structures\MAT_229_Ru0.40Re0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_230,Re,0.2,0.8,Ru0.20Re0.80Ox,data\substituted_structures\MAT_230_Ru0.20Re0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_232,Os,0.8,0.1999999999999999,Ru0.80Os0.20Ox,data\substituted_structures\MAT_232_Ru0.80Os0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
