material_id,nominal_formula,adsorbate,adsorbate_structure_file,predicted_energy_eV,backend,status
MAT_014,Ru0.75Ce0.25Ox,O2,data\substituted_adsorbates\MAT_014_O2_site2_adsorbed.cif,-691.4858629641016,uma-s-1p2,success
MAT_014,Ru0.75Ce0.25Ox,N2O,data\substituted_adsorbates\MAT_014_N2O_site0_adsorbed.cif,-700.1022224247536,uma-s-1p2,success
MAT_014,Ru0.75Ce0.25Ox,N2O,data\substituted_adsorbates\MAT_014_N2O_site1_adsorbed.cif,-702.8114574890719,uma-s-1p2,success
MAT_014,Ru0.75Ce0.25Ox,N2O,data\substituted_adsorbates\MAT_014_N2O_site2_adsorbed.cif,-702.8297308127453,uma-s-1p2,success
MAT_015,Ru0.50Ce0.50Ox,O,data\substituted_adsorbates\MAT_015_O_site0_adsorbed.cif,-339.0454548718508,uma-s-1p2,success
MAT_015,Ru0.50Ce0.50Ox,O,data\substituted_adsorbates\MAT_015_O_site1_adsorbed.cif,-339.7961513281104,uma-s-1p2,success
MAT_015,Ru0.50Ce0.50Ox,O,data\substituted_adsorbates\MAT_015_O_site2_adsorbed.cif,-336.9794934163834,uma-s-1p2,success
MAT_015,Ru0.50Ce0.50Ox,O2,data\substituted_adsorbates\MAT_015_O2_site0_adsorbed.cif,-342.2097494858512,uma-s-1p2,success
MAT_015,Ru0.50Ce0.50Ox,O2,data\substituted_adsorbates\MAT_015_O2_site1_adsorbed.cif,-343.9607013927114,uma-s-1p2,success
MAT_015,Ru0.50Ce0.50Ox,O2,data\substituted_adsorbates\MAT_015_O2_site2_adsorbed.cif,-342.63956168952643,uma-s-1p2,success
MAT_015,Ru0.50Ce0.50Ox,N2O,data\substituted_adsorbates\MAT_015_N2O_site0_adsorbed.cif,-352.57655499518506,uma-s-1p2,success
MAT_015,Ru0.50Ce0.50Ox,N2O,data\substituted_adsorbates\MAT_015_N2O_site1_adsorbed.cif,-355.4684198124066,uma-s-1p2,success
MAT_015,Ru0.50Ce0.50Ox,N2O,data\substituted_adsorbates\MAT_015_N2O_site2_adsorbed.cif,-353.54531092673534,uma-s-1p2,success
MAT_016,Ru0.25Ce0.75Ox,O,data\substituted_adsorbates\MAT_016_O_site0_adsorbed.cif,-656.2096269769938,uma-s-1p2,success
MAT_016,Ru0.25Ce0.75Ox,O,data\substituted_adsorbates\MAT_016_O_site1_adsorbed.cif,-656.2360815224633,uma-s-1p2,success
MAT_016,Ru0.25Ce0.75Ox,O,data\substituted_adsorbates\MAT_016_O_site2_adsorbed.cif,-658.2700806400168,uma-s-1p2,success
MAT_016,Ru0.25Ce0.75Ox,O2,data\substituted_adsorbates\MAT_016_O2_site0_adsorbed.cif,-659.9907738274937,uma-s-1p2,success
MAT_016,Ru0.25Ce0.75Ox,O2,data\substituted_adsorbates\MAT_016_O2_site1_adsorbed.cif,-659.9394146918125,uma-s-1p2,success
MAT_016,Ru0.25Ce0.75Ox,O2,data\substituted_adsorbates\MAT_016_O2_site2_adsorbed.cif,-661.194476903547,uma-s-1p2,success
MAT_016,Ru0.25Ce0.75Ox,N2O,data\substituted_adsorbates\MAT_016_N2O_site0_adsorbed.cif,-669.4656845072597,uma-s-1p2,success
MAT_016,Ru0.25Ce0.75Ox,N2O,data\substituted_adsorbates\MAT_016_N2O_site1_adsorbed.cif,-669.4456593924904,uma-s-1p2,success
MAT_016,Ru0.25Ce0.75Ox,N2O,data\substituted_adsorbates\MAT_016_N2O_site2_adsorbed.cif,-670.3596438091198,uma-s-1p2,success
MAT_018,Ru0.75Ni0.25Ox,O,data\substituted_adsorbates\MAT_018_O_site0_adsorbed.cif,-631.3209199982874,uma-s-1p2,success
MAT_018,Ru0.75Ni0.25Ox,O,data\substituted_adsorbates\MAT_018_O_site1_adsorbed.cif,-633.7918737010385,uma-s-1p2,success
MAT_018,Ru0.75Ni0.25Ox,O,data\substituted_adsorbates\MAT_018_O_site2_adsorbed.cif,-633.2952588717,uma-s-1p2,success
MAT_018,Ru0.75Ni0.25Ox,O2,data\substituted_adsorbates\MAT_018_O2_site0_adsorbed.cif,-637.1254463391474,uma-s-1p2,success
MAT_018,Ru0.75Ni0.25Ox,O2,data\substituted_adsorbates\MAT_018_O2_site1_adsorbed.cif,-637.9884318275136,uma-s-1p2,success
MAT_018,Ru0.75Ni0.25Ox,O2,data\substituted_adsorbates\MAT_018_O2_site2_adsorbed.cif,-637.9100259345914,uma-s-1p2,success
MAT_018,Ru0.75Ni0.25Ox,N2O,data\substituted_adsorbates\MAT_018_N2O_site0_adsorbed.cif,-649.1131903745443,uma-s-1p2,success
MAT_018,Ru0.75Ni0.25Ox,N2O,data\substituted_adsorbates\MAT_018_N2O_site1_adsorbed.cif,-649.7722774020114,uma-s-1p2,success
MAT_018,Ru0.75Ni0.25Ox,N2O,data\substituted_adsorbates\MAT_018_N2O_site2_adsorbed.cif,-649.5659212857578,uma-s-1p2,success
MAT_019,Ru0.50Ni0.50Ox,O,data\substituted_adsorbates\MAT_019_O_site0_adsorbed.cif,-286.07963022235566,uma-s-1p2,success
MAT_019,Ru0.50Ni0.50Ox,O,data\substituted_adsorbates\MAT_019_O_site1_adsorbed.cif,-287.93383031057965,uma-s-1p2,success
MAT_019,Ru0.50Ni0.50Ox,O,data\substituted_adsorbates\MAT_019_O_site2_adsorbed.cif,-285.1571738248381,uma-s-1p2,success
MAT_019,Ru0.50Ni0.50Ox,O2,data\substituted_adsorbates\MAT_019_O2_site0_adsorbed.cif,-291.83743026555646,uma-s-1p2,success
MAT_019,Ru0.50Ni0.50Ox,O2,data\substituted_adsorbates\MAT_019_O2_site1_adsorbed.cif,-292.38248454625403,uma-s-1p2,success
MAT_019,Ru0.50Ni0.50Ox,O2,data\substituted_adsorbates\MAT_019_O2_site2_adsorbed.cif,-291.3308833881983,uma-s-1p2,success
MAT_019,Ru0.50Ni0.50Ox,N2O,data\substituted_adsorbates\MAT_019_N2O_site0_adsorbed.cif,-303.77753269920186,uma-s-1p2,success
MAT_019,Ru0.50Ni0.50Ox,N2O,data\substituted_adsorbates\MAT_019_N2O_site1_adsorbed.cif,-303.97166141564185,uma-s-1p2,success
MAT_019,Ru0.50Ni0.50Ox,N2O,data\substituted_adsorbates\MAT_019_N2O_site2_adsorbed.cif,-302.60031442462144,uma-s-1p2,success
MAT_020,Ru0.25Ni0.75Ox,O,data\substituted_adsorbates\MAT_020_O_site0_adsorbed.cif,-489.8386178900307,uma-s-1p2,success
MAT_020,Ru0.25Ni0.75Ox,O,data\substituted_adsorbates\MAT_020_O_site1_adsorbed.cif,-489.8039195085362,uma-s-1p2,success
MAT_020,Ru0.25Ni0.75Ox,O,data\substituted_adsorbates\MAT_020_O_site2_adsorbed.cif,-489.9584827264066,uma-s-1p2,success
MAT_020,Ru0.25Ni0.75Ox,O2,data\substituted_adsorbates\MAT_020_O2_site0_adsorbed.cif,-495.8596485416118,uma-s-1p2,success
MAT_020,Ru0.25Ni0.75Ox,O2,data\substituted_adsorbates\MAT_020_O2_site1_adsorbed.cif,-495.84290258368014,uma-s-1p2,success
MAT_020,Ru0.25Ni0.75Ox,O2,data\substituted_adsorbates\MAT_020_O2_site2_adsorbed.cif,-495.9416985381638,uma-s-1p2,success
MAT_020,Ru0.25Ni0.75Ox,N2O,data\substituted_adsorbates\MAT_020_N2O_site0_adsorbed.cif,-507.6598378771696,uma-s-1p2,success
MAT_020,Ru0.25Ni0.75Ox,N2O,data\substituted_adsorbates\MAT_020_N2O_site1_adsorbed.cif,-507.65191237409414,uma-s-1p2,success
MAT_020,Ru0.25Ni0.75Ox,N2O,data\substituted_adsorbates\MAT_020_N2O_site2_adsorbed.cif,-507.7333707337987,uma-s-1p2,success
MAT_022,Ru0.75Cu0.25Ox,O,data\substituted_adsorbates\MAT_022_O_site0_adsorbed.cif,-636.3830310498782,uma-s-1p2,success
MAT_022,Ru0.75Cu0.25Ox,O,data\substituted_adsorbates\MAT_022_O_site1_adsorbed.cif,-638.6338223651242,uma-s-1p2,success
MAT_022,Ru0.75Cu0.25Ox,O,data\substituted_adsorbates\MAT_022_O_site2_adsorbed.cif,-637.9434907099367,uma-s-1p2,success
MAT_022,Ru0.75Cu0.25Ox,O2,data\substituted_adsorbates\MAT_022_O2_site0_adsorbed.cif,-641.5022240502949,uma-s-1p2,success
MAT_022,Ru0.75Cu0.25Ox,O2,data\substituted_adsorbates\MAT_022_O2_site1_adsorbed.cif,-642.588336439567,uma-s-1p2,success
MAT_022,Ru0.75Cu0.25Ox,O2,data\substituted_adsorbates\MAT_022_O2_site2_adsorbed.cif,-642.4962360906229,uma-s-1p2,success
MAT_022,Ru0.75Cu0.25Ox,N2O,data\substituted_adsorbates\MAT_022_N2O_site0_adsorbed.cif,-653.4357868278005,uma-s-1p2,success
MAT_022,Ru0.75Cu0.25Ox,N2O,data\substituted_adsorbates\MAT_022_N2O_site1_adsorbed.cif,-654.2878400002782,uma-s-1p2,success
MAT_022,Ru0.75Cu0.25Ox,N2O,data\substituted_adsorbates\MAT_022_N2O_site2_adsorbed.cif,-654.049685114504,uma-s-1p2,success
MAT_023,Ru0.50Cu0.50Ox,O,data\substituted_adsorbates\MAT_023_O_site0_adsorbed.cif,-291.02632027555876,uma-s-1p2,success
MAT_023,Ru0.50Cu0.50Ox,O,data\substituted_adsorbates\MAT_023_O_site1_adsorbed.cif,-292.76713491150844,uma-s-1p2,success
MAT_023,Ru0.50Cu0.50Ox,O,data\substituted_adsorbates\MAT_023_O_site2_adsorbed.cif,-289.38003129318093,uma-s-1p2,success
MAT_023,Ru0.50Cu0.50Ox,O2,data\substituted_adsorbates\MAT_023_O2_site0_adsorbed.cif,-295.9373745501969,uma-s-1p2,success
MAT_023,Ru0.50Cu0.50Ox,O2,data\substituted_adsorbates\MAT_023_O2_site1_adsorbed.cif,-296.7677484314148,uma-s-1p2,success
MAT_023,Ru0.50Cu0.50Ox,O2,data\substituted_adsorbates\MAT_023_O2_site2_adsorbed.cif,-295.70705221477675,uma-s-1p2,success
MAT_023,Ru0.50Cu0.50Ox,N2O,data\substituted_adsorbates\MAT_023_N2O_site0_adsorbed.cif,-307.79610616257423,uma-s-1p2,success
MAT_023,Ru0.50Cu0.50Ox,N2O,data\substituted_adsorbates\MAT_023_N2O_site1_adsorbed.cif,-308.20976569994656,uma-s-1p2,success
MAT_023,Ru0.50Cu0.50Ox,N2O,data\substituted_adsorbates\MAT_023_N2O_site2_adsorbed.cif,-306.7183225831026,uma-s-1p2,success
MAT_024,Ru0.25Cu0.75Ox,O,data\substituted_adsorbates\MAT_024_O_site0_adsorbed.cif,-507.05954500877954,uma-s-1p2,success
MAT_024,Ru0.25Cu0.75Ox,O,data\substituted_adsorbates\MAT_024_O_site1_adsorbed.cif,-507.1339862254182,uma-s-1p2,success
