material_id,M_element,Ru_fraction,M_fraction,nominal_formula,slab_file,predicted_energy_eV,backend,status
MAT_125,Rh,0.2,0.8,Ru0.20Rh0.80Ox,data\substituted_slabs\MAT_125_110_slab.cif,-314.7525319728616,uma-s-1p2,success
MAT_127,Pd,0.8,0.1999999999999999,Ru0.80Pd0.20Ox,data\substituted_slabs\MAT_127_110_slab.cif,-321.5991235974947,uma-s-1p2,success
MAT_128,Pd,0.6,0.4,Ru0.60Pd0.40Ox,data\substituted_slabs\MAT_128_110_slab.cif,-308.7672672270353,uma-s-1p2,success
MAT_129,Pd,0.4,0.6,Ru0.40Pd0.60Ox,data\substituted_slabs\MAT_129_110_slab.cif,-284.71967083916735,uma-s-1p2,success
MAT_130,Pd,0.2,0.8,Ru0.20Pd0.80Ox,data\substituted_slabs\MAT_130_110_slab.cif,-273.24222675672894,uma-s-1p2,success
MAT_132,Ag,0.8,0.1999999999999999,Ru0.80Ag0.20Ox,data\substituted_slabs\MAT_132_110_slab.cif,-302.91360743073733,uma-s-1p2,success
MAT_133,Ag,0.6,0.4,Ru0.60Ag0.40Ox,data\substituted_slabs\MAT_133_110_slab.cif,-280.13297224710465,uma-s-1p2,success
MAT_134,Ag,0.4,0.6,Ru0.40Ag0.60Ox,data\substituted_slabs\MAT_134_110_slab.cif,-237.88605979505806,uma-s-1p2,success
MAT_135,Ag,0.2,0.8,Ru0.20Ag0.80Ox,data\substituted_slabs\MAT_135_110_slab.cif,-218.3971101815625,uma-s-1p2,success
MAT_137,Cd,0.8,0.1999999999999999,Ru0.80Cd0.20Ox,data\substituted_slabs\MAT_137_110_slab.cif,-296.222829607779,uma-s-1p2,success
MAT_138,Cd,0.6,0.4,Ru0.60Cd0.40Ox,data\substituted_slabs\MAT_138_110_slab.cif,-270.02806665027214,uma-s-1p2,success
MAT_139,Cd,0.4,0.6,Ru0.40Cd0.60Ox,data\substituted_slabs\MAT_139_110_slab.cif,-218.81307695912622,uma-s-1p2,success
MAT_140,Cd,0.2,0.8,Ru0.20Cd0.80Ox,data\substituted_slabs\MAT_140_110_slab.cif,-195.16924550465058,uma-s-1p2,success
MAT_142,In,0.8,0.1999999999999999,Ru0.80In0.20Ox,data\substituted_slabs\MAT_142_110_slab.cif,-313.68485333423126,uma-s-1p2,success
MAT_143,In,0.6,0.4,Ru0.60In0.40Ox,data\substituted_slabs\MAT_143_110_slab.cif,-296.42177739913393,uma-s-1p2,success
MAT_144,In,0.4,0.6,Ru0.40In0.60Ox,data\substituted_slabs\MAT_144_110_slab.cif,-262.9012870304241,uma-s-1p2,success
MAT_145,In,0.2,0.8,Ru0.20In0.80Ox,data\substituted_slabs\MAT_145_110_slab.cif,-247.916055871928,uma-s-1p2,success
MAT_147,Sn,0.8,0.1999999999999999,Ru0.80Sn0.20Ox,data\substituted_slabs\MAT_147_110_slab.cif,-324.26099888438443,uma-s-1p2,success
MAT_148,Sn,0.6,0.4,Ru0.60Sn0.40Ox,data\substituted_slabs\MAT_148_110_slab.cif,-312.9876916296332,uma-s-1p2,success
MAT_149,Sn,0.4,0.6,Ru0.40Sn0.60Ox,data\substituted_slabs\MAT_149_110_slab.cif,-294.2310260543421,uma-s-1p2,success
MAT_150,Sn,0.2,0.8,Ru0.20Sn0.80Ox,data\substituted_slabs\MAT_150_110_slab.cif,-286.39493502576056,uma-s-1p2,success
MAT_152,Ba,0.8,0.1999999999999999,Ru0.80Ba0.20Ox,data\substituted_slabs\MAT_152_110_slab.cif,-281.4574427605372,uma-s-1p2,success
MAT_153,Ba,0.6,0.4,Ru0.60Ba0.40Ox,data\substituted_slabs\MAT_153_110_slab.cif,-246.26236315041018,uma-s-1p2,success
MAT_154,Ba,0.4,0.6,Ru0.40Ba0.60Ox,data\substituted_slabs\MAT_154_110_slab.cif,-181.54922892981784,uma-s-1p2,success
MAT_155,Ba,0.2,0.8,Ru0.20Ba0.80Ox,data\substituted_slabs\MAT_155_110_slab.cif,-155.71757577673588,uma-s-1p2,success
MAT_157,La,0.8,0.1999999999999999,Ru0.80La0.20Ox,data\substituted_slabs\MAT_157_110_slab.cif,-258.4713172107228,uma-s-1p2,success
MAT_158,La,0.6,0.4,Ru0.60La0.40Ox,data\substituted_slabs\MAT_158_110_slab.cif,-212.86166771146407,uma-s-1p2,success
MAT_159,La,0.4,0.6,Ru0.40La0.60Ox,data\substituted_slabs\MAT_159_110_slab.cif,-124.27172321663991,uma-s-1p2,success
MAT_160,La,0.2,0.8,Ru0.20La0.80Ox,data\substituted_slabs\MAT_160_110_slab.cif,-83.37691181275261,uma-s-1p2,success
MAT_162,Ce,0.8,0.1999999999999999,Ru0.80Ce0.20Ox,data\substituted_slabs\MAT_162_110_slab.cif,-340.34641869437314,uma-s-1p2,success
MAT_163,Ce,0.6,0.4,Ru0.60Ce0.40Ox,data\substituted_slabs\MAT_163_110_slab.cif,-335.9600054691218,uma-s-1p2,success
MAT_164,Ce,0.4,0.6,Ru0.40Ce0.60Ox,data\substituted_slabs\MAT_164_110_slab.cif,-328.48056348815004,uma-s-1p2,success
MAT_165,Ce,0.2,0.8,Ru0.20Ce0.80Ox,data\substituted_slabs\MAT_165_110_slab.cif,-325.120787863532,uma-s-1p2,success
MAT_167,Pr,0.8,0.1999999999999999,Ru0.80Pr0.20Ox,data\substituted_slabs\MAT_167_110_slab.cif,-296.6197921565798,uma-s-1p2,success
MAT_168,Pr,0.6,0.4,Ru0.60Pr0.40Ox,data\substituted_slabs\MAT_168_110_slab.cif,-270.1858149861458,uma-s-1p2,success
MAT_169,Pr,0.4,0.6,Ru0.40Pr0.60Ox,data\substituted_slabs\MAT_169_110_slab.cif,-220.06053537986094,uma-s-1p2,success
MAT_170,Pr,0.2,0.8,Ru0.20Pr0.80Ox,data\substituted_slabs\MAT_170_110_slab.cif,-198.15878027758214,uma-s-1p2,success
MAT_172,Nd,0.8,0.1999999999999999,Ru0.80Nd0.20Ox,data\substituted_slabs\MAT_172_110_slab.cif,-298.0212755143783,uma-s-1p2,success
MAT_173,Nd,0.6,0.4,Ru0.60Nd0.40Ox,data\substituted_slabs\MAT_173_110_slab.cif,-272.36512117325844,uma-s-1p2,success
MAT_174,Nd,0.4,0.6,Ru0.40Nd0.60Ox,data\substituted_slabs\MAT_174_110_slab.cif,-223.81901266799315,uma-s-1p2,success
MAT_175,Nd,0.2,0.8,Ru0.20Nd0.80Ox,data\substituted_slabs\MAT_175_110_slab.cif,-202.64948260329874,uma-s-1p2,success
MAT_177,Sm,0.8,0.1999999999999999,Ru0.80Sm0.20Ox,data\substituted_slabs\MAT_177_110_slab.cif,-297.6072534656424,uma-s-1p2,success
MAT_178,Sm,0.6,0.4,Ru0.60Sm0.40Ox,data\substituted_slabs\MAT_178_110_slab.cif,-272.0330997767176,uma-s-1p2,success
MAT_179,Sm,0.4,0.6,Ru0.40Sm0.60Ox,data\substituted_slabs\MAT_179_110_slab.cif,-223.12543184513189,uma-s-1p2,success
MAT_180,Sm,0.2,0.8,Ru0.20Sm0.80Ox,data\substituted_slabs\MAT_180_110_slab.cif,-201.22536619263985,uma-s-1p2,success
MAT_182,Gd,0.8,0.1999999999999999,Ru0.80Gd0.20Ox,data\substituted_slabs\MAT_182_110_slab.cif,-323.3385347698968,uma-s-1p2,success
MAT_183,Gd,0.6,0.4,Ru0.60Gd0.40Ox,data\substituted_slabs\MAT_183_110_slab.cif,-310.3685896071474,uma-s-1p2,success
MAT_184,Gd,0.4,0.6,Ru0.40Gd0.60Ox,data\substituted_slabs\MAT_184_110_slab.cif,-286.73827829629465,uma-s-1p2,success
MAT_185,Gd,0.2,0.8,Ru0.20Gd0.80Ox,data\substituted_slabs\MAT_185_110_slab.cif,-278.7897942228513,uma-s-1p2,success
MAT_187,Tb,0.8,0.1999999999999999,Ru0.80Tb0.20Ox,data\substituted_slabs\MAT_187_110_slab.cif,-309.4798503687258,uma-s-1p2,success
MAT_188,Tb,0.6,0.4,Ru0.60Tb0.40Ox,data\substituted_slabs\MAT_188_110_slab.cif,-289.926172121928,uma-s-1p2,success
MAT_189,Tb,0.4,0.6,Ru0.40Tb0.60Ox,data\substituted_slabs\MAT_189_110_slab.cif,-252.67695700092992,uma-s-1p2,success
MAT_190,Tb,0.2,0.8,Ru0.20Tb0.80Ox,data\substituted_slabs\MAT_190_110_slab.cif,-236.3439617434017,uma-s-1p2,success
MAT_192,Dy,0.8,0.1999999999999999,Ru0.80Dy0.20Ox,data\substituted_slabs\MAT_192_110_slab.cif,-307.2699450492389,uma-s-1p2,success
MAT_193,Dy,0.6,0.4,Ru0.60Dy0.40Ox,data\substituted_slabs\MAT_193_110_slab.cif,-286.7037844990154,uma-s-1p2,success
MAT_194,Dy,0.4,0.6,Ru0.40Dy0.60Ox,data\substituted_slabs\MAT_194_110_slab.cif,-247.20125446524918,uma-s-1p2,success
