material_id,M_element,Ru_fraction,M_fraction,nominal_formula,miller_index,slab_file,parent_structure_file,notes
MAT_157,La,0.8,0.1999999999999999,Ru0.80La0.20Ox,"(1,1,0)",data\substituted_slabs\MAT_157_110_slab.cif,data\substituted_structures\MAT_157_Ru0.80La0.20Ox.cif,generated substituted slab
MAT_158,La,0.6,0.4,Ru0.60La0.40Ox,"(1,1,0)",data\substituted_slabs\MAT_158_110_slab.cif,data\substituted_structures\MAT_158_Ru0.60La0.40Ox.cif,generated substituted slab
MAT_159,La,0.4,0.6,Ru0.40La0.60Ox,"(1,1,0)",data\substituted_slabs\MAT_159_110_slab.cif,data\substituted_structures\MAT_159_Ru0.40La0.60Ox.cif,generated substituted slab
MAT_160,La,0.2,0.8,Ru0.20La0.80Ox,"(1,1,0)",data\substituted_slabs\MAT_160_110_slab.cif,data\substituted_structures\MAT_160_Ru0.20La0.80Ox.cif,generated substituted slab
MAT_162,Ce,0.8,0.1999999999999999,Ru0.80Ce0.20Ox,"(1,1,0)",data\substituted_slabs\MAT_162_110_slab.cif,data\substituted_structures\MAT_162_Ru0.80Ce0.20Ox.cif,generated substituted slab
MAT_163,Ce,0.6,0.4,Ru0.60Ce0.40Ox,"(1,1,0)",data\substituted_slabs\MAT_163_110_slab.cif,data\substituted_structures\MAT_163_Ru0.60Ce0.40Ox.cif,generated substituted slab
MAT_164,Ce,0.4,0.6,Ru0.40Ce0.60Ox,"(1,1,0)",data\substituted_slabs\MAT_164_110_slab.cif,data\substituted_structures\MAT_164_Ru0.40Ce0.60Ox.cif,generated substituted slab
MAT_165,Ce,0.2,0.8,Ru0.20Ce0.80Ox,"(1,1,0)",data\substituted_slabs\MAT_165_110_slab.cif,data\substituted_structures\MAT_165_Ru0.20Ce0.80Ox.cif,generated substituted slab
MAT_167,Pr,0.8,0.1999999999999999,Ru0.80Pr0.20Ox,"(1,1,0)",data\substituted_slabs\MAT_167_110_slab.cif,data\substituted_structures\MAT_167_Ru0.80Pr0.20Ox.cif,generated substituted slab
MAT_168,Pr,0.6,0.4,Ru0.60Pr0.40Ox,"(1,1,0)",data\substituted_slabs\MAT_168_110_slab.cif,data\substituted_structures\MAT_168_Ru0.60Pr0.40Ox.cif,generated substituted slab
MAT_169,Pr,0.4,0.6,Ru0.40Pr0.60Ox,"(1,1,0)",data\substituted_slabs\MAT_169_110_slab.cif,data\substituted_structures\MAT_169_Ru0.40Pr0.60Ox.cif,generated substituted slab
MAT_170,Pr,0.2,0.8,Ru0.20Pr0.80Ox,"(1,1,0)",data\substituted_slabs\MAT_170_110_slab.cif,data\substituted_structures\MAT_170_Ru0.20Pr0.80Ox.cif,generated substituted slab
MAT_172,Nd,0.8,0.1999999999999999,Ru0.80Nd0.20Ox,"(1,1,0)",data\substituted_slabs\MAT_172_110_slab.cif,data\substituted_structures\MAT_172_Ru0.80Nd0.20Ox.cif,generated substituted slab
MAT_173,Nd,0.6,0.4,Ru0.60Nd0.40Ox,"(1,1,0)",data\substituted_slabs\MAT_173_110_slab.cif,data\substituted_structures\MAT_173_Ru0.60Nd0.40Ox.cif,generated substituted slab
MAT_174,Nd,0.4,0.6,Ru0.40Nd0.60Ox,"(1,1,0)",data\substituted_slabs\MAT_174_110_slab.cif,data\substituted_structures\MAT_174_Ru0.40Nd0.60Ox.cif,generated substituted slab
MAT_175,Nd,0.2,0.8,Ru0.20Nd0.80Ox,"(1,1,0)",data\substituted_slabs\MAT_175_110_slab.cif,data\substituted_structures\MAT_175_Ru0.20Nd0.80Ox.cif,generated substituted slab
